Sample_id,Sample_Name,Reservoir,Date,Station,Depth,Rep,Dilution,Fmax1,Fmax2,Fmax3,Fmax4
176,p_F22Aug19_50_R2.csv,FCR,8/22/2019,50,0.1,2,1,0.59253263,0.784048477,0.179584766,0.528851927
175,p_F22Aug19_5.0R1.csv,FCR,8/22/2019,50,5,1,2,0.461085177,0.656176284,0.50561932,0.299293724
177,p_F22Aug19_5m_R2.csv,FCR,8/22/2019,50,5,2,1,0.532577148,0.592017161,1.020460012,0.182415074
179,p_F22Aug19_9m_R1.csv,FCR,8/22/2019,50,9,1,1,0.497649827,0.613628197,0.708193607,0.208853924
17,p_20190930_F22Aug19_9m_R2_Dil.csv,FCR,8/22/2019,50,9,2,2,0.443534223,0.675448268,0.645777086,0.237214332
178,p_F22Aug19_99_R1.csv,FCR,8/22/2019,99,0.1,1,1,0.529886723,0.405399774,0.166899654,0.13135292
168,p_F22Aug19_100_R1.csv,FCR,8/22/2019,100,0.1,1,1,0.557576485,0.374216845,0.219977352,0.126471645
169,p_F22Aug19_101_R2.csv,FCR,8/22/2019,101,0.1,2,1,0.591885206,0.411669246,0.166826716,0.062900946
170,p_F22Aug19_102_R1.csv,FCR,8/22/2019,102,0.1,1,1,0.108523529,0.085044607,0.39081913,0.125095357
171,p_F22Aug19_200_R2.csv,FCR,8/22/2019,200,0.1,2,1,1.036859391,0.889441214,0.586263824,0.142540192
199,p_F28Aug190_0.1R2.csv,FCR,8/28/2019,50,0.1,2,2,0.669480799,0.868320819,0.245575014,0.584740584
200,p_F28Aug19_5.0R2.csv,FCR,8/28/2019,50,5,2,2,0.461894838,0.649918667,0.515189691,0.291828166
20,p_20191115_F28Aug19_9R1_Dil.csv,FCR,8/28/2019,50,9,1,2,0.565945787,0.968136004,0.221007474,0.308585035
218,p_F2Sep19_SurfR1_Dil.csv,FCR,9/2/2019,50,0.1,1,2,0.72177634,0.78537021,0.290308489,0.817738704
216,p_F2Sep19_5R1_Dil.csv,FCR,9/2/2019,50,5,1,2,0.536183643,0.636712612,0.215846715,0.416820196
217,p_F2Sep19_Inf_R1.csv,FCR,9/2/2019,100,0.1,1,1,0.49361296,0.321507339,0.296361302,0.127936942
219,p_F2Sep19_Wet_R2.csv,FCR,9/2/2019,200,0.1,2,1,0.888344148,0.814530623,0.257016588,0.387155397
19,p_20191115_F11Sep19_0.1R1_Dil.csv,FCR,9/11/2019,50,0.1,1,2,0.532106,0.844779944,0.042565245,0.395480221
119,p_F11Sep19_5.0R2.csv,FCR,9/11/2019,50,5,2,2,0.353227684,0.514369682,0.492878089,0.298576493
120,p_F11Sep19_9.0R2.csv,FCR,9/11/2019,50,9,2,1,0.294476078,0.490790131,0.131917372,0.186608214
67,p_B20Sep19_01_R2.csv,BVR,9/20/2019,1,0.1,2,1,0.396809039,0.545108329,0.230997699,0.314853537
68,p_B20Sep19_20_R2.csv,BVR,9/20/2019,20,0.1,2,1,0.399352487,0.55395297,0.194378709,0.31196915
69,p_B20Sep19_30_R2.csv,BVR,9/20/2019,30,0.1,2,1,0.39745508,0.576229818,0.265802015,0.274468311
70,p_B20Sep19_45_R1.csv,BVR,9/20/2019,45,0.1,1,1,0.405853494,0.528371542,0.276535733,0.260934824
71,p_B20Sep19_50_R1.csv,BVR,9/20/2019,50,0.1,1,1,0.370984262,0.541795418,0.163231081,0.284009744
161,p_F20Sep19_20_R1.csv,FCR,9/20/2019,20,0.1,1,1,0.620856276,1.190817793,0.478217344,0.51671642
162,p_F20Sep19_30_R2.csv,FCR,9/20/2019,30,0.1,2,1,0.58210634,0.835540437,0.155010058,0.482730069
163,p_F20Sep19_45_R1.csv,FCR,9/20/2019,45,0.1,1,1,0.592926077,1.386852305,0.522474379,0.579719699
51,p_20200302_F20Sep19_Surf_R1_Dil.csv,FCR,9/20/2019,50,0.1,1,2,0.695438212,0.881726923,0.326592906,0.662271952
165,p_F20Sep19_SurfR2_Dil.csv,FCR,9/20/2019,50,0.1,2,2,0.699471969,0.818484332,0.498671114,0.79099371
50,p_20200302_F20Sep19_9R1_Dil.csv,FCR,9/20/2019,50,9,1,2,0.285190212,0.456345209,0.173407909,0.170091522
164,p_F20Sep19_9R2_Dil.csv,FCR,9/20/2019,50,9,2,2,0.356338186,0.426682644,0.19743646,0.250306334
160,p_F20Sep19_100_R1.csv,FCR,9/20/2019,100,0.1,1,1,0.477683973,0.484400238,0.397482375,0.140218923
