i,Sample_Label,Reservoir,Date,Station,Depth,Rep,Fmax1,Fmax1_perc,Fmax2,Fmax2_perc,Fmax3,Fmax3_perc,Fmax4,Fmax4_perc
131,'p_F18Jul19_01_R1.csv',FCR,7/18/2019,1,0.1,1,0.51,29.35,0.47,27.43,0.47,27.28,0.28,15.94
136,'p_F18Jul19_20_R2.csv',FCR,7/18/2019,20,0.1,2,0.55,31.17,0.63,35.91,0.24,13.42,0.34,19.50
137,'p_F18Jul19_30_R1.csv',FCR,7/18/2019,30,0.1,1,0.53,32.55,0.62,37.90,0.12,7.06,0.37,22.48
138,'p_F18Jul19_45_R1.csv',FCR,7/18/2019,45,0.1,1,0.54,31.10,0.61,35.27,0.24,14.18,0.34,19.46
140,'p_F18Jul19_Surf_R1.csv',FCR,7/18/2019,50,0.1,1,0.57,28.87,0.72,36.53,0.28,14.05,0.41,20.55
139,'p_F18Jul19_99_R1.csv',FCR,7/18/2019,99,0.1,1,0.52,37.88,0.34,24.84,0.40,29.13,0.11,8.15
132,'p_F18Jul19_100_R2.csv',FCR,7/18/2019,100,0.1,2,0.51,49.72,0.39,38.12,0.03,2.48,0.10,9.67
133,'p_F18Jul19_101_R2.csv',FCR,7/18/2019,101,0.1,2,0.56,51.45,0.33,30.71,0.09,8.14,0.11,9.70
134,'p_F18Jul19_102_R2.csv',FCR,7/18/2019,102,0.1,2,0.12,20.97,0.00,0.00,0.43,72.63,0.04,6.40
135,'p_F18Jul19_200_R1.csv',FCR,7/18/2019,200,0.1,1,1.14,40.04,0.83,29.00,0.69,24.13,0.19,6.83
181,'p_F22Jul19_0.1mR1_Dil.csv',FCR,7/22/2019,50,0.1,1,0.59,26.45,0.89,40.37,0.10,4.72,0.63,28.46
182,'p_F22Jul19_5mR2.csv',FCR,7/22/2019,50,5,2,0.48,28.82,0.60,36.17,0.32,19.25,0.26,15.76
183,'p_F22Jul19_9mR2_Dil.csv',FCR,7/22/2019,50,9,2,0.65,24.81,0.73,27.96,0.88,33.79,0.35,13.44
55,'p_20200228_F22Jul19_INFR2_Dil.csv',FCR,7/22/2019,100,0.1,2,0.60,48.83,0.37,30.10,0.13,10.23,0.13,10.84
62,'p_20200302_F22Jul19_WETR1_Dil.csv',FCR,7/22/2019,200,0.1,1,1.21,41.84,1.00,34.69,0.48,16.62,0.20,6.86
214,'p_F29Jul19_SurfR2_Dil.csv',FCR,7/29/2019,50,0.1,2,0.57,27.64,0.63,30.70,0.32,15.34,0.54,26.32
211,'p_F29Jul19_5mR1_ReDL.csv',FCR,7/29/2019,50,5,1,0.56,27.66,0.59,29.03,0.42,20.69,0.46,22.61
212,'p_F29Jul19_9R2_Dil.csv',FCR,7/29/2019,50,9,2,1.34,19.94,1.43,21.37,3.12,46.48,0.82,12.21
213,'p_F29Jul19_Inf_R1.csv',FCR,7/29/2019,100,0.1,1,0.58,37.03,0.16,10.31,0.69,44.22,0.13,8.44
215,'p_F29Jul19_Wet_R1.csv',FCR,7/29/2019,200,0.1,1,0.96,38.39,0.65,26.29,0.65,26.03,0.23,9.30
243,'p_F5Aug19_SurfR1_Dil.csv',FCR,8/5/2019,50,0.1,1,0.62,30.99,0.68,34.02,0.21,10.53,0.49,24.45
240,'p_F5Aug19_5R1.csv',FCR,8/5/2019,50,5,1,0.37,24.14,0.46,30.03,0.39,25.25,0.31,20.58
241,'p_F5Aug19_9R1_Dil.csv',FCR,8/5/2019,50,9,1,1.02,19.88,1.03,20.17,2.60,50.66,0.48,9.29
242,'p_F5Aug19_Inf_R1.csv',FCR,8/5/2019,100,0.1,1,0.57,48.33,0.40,33.89,0.07,6.34,0.13,11.43
244,'p_F5Aug19_Wet_R1.csv',FCR,8/5/2019,200,0.1,1,1.06,39.48,0.83,30.82,0.61,22.49,0.19,7.22
32,'p_20200214_F12Aug19_5R2_Dil.csv',FCR,8/12/2019,50,5,2,1.41,30.42,1.92,41.48,0.87,18.88,0.43,9.22
33,'p_20200214_F12Aug19_9R1_Dil.csv',FCR,8/12/2019,50,9,1,1.33,31.19,2.12,49.85,0.17,3.98,0.64,14.98
13,'p_20190930_F14Aug19_0.1m_Dil.csv',FCR,8/14/2019,50,0.1,1,0.62,29.81,0.74,35.27,0.29,13.86,0.44,21.05
